"id_bibrec","status","docname"
14278,"status:PA16JU","PAL_E1518"
14277,"status:PA16JU","PAL_E1515"
13771,"status:PA16JU","PAL_E649"
13769,"status:PA16JU","PAL_E642"
13750,"status:PA16JU","PAL_E604"
13747,"status:PA16JU","PAL_E589"
13738,"status:PA16JU","PAL_E490"
13680,"status:PA16JU","PAL_E391"
13679,"status:PA16JU","PAL_E386"
13670,"status:PA16JU","PAL_E308"
13669,"status:PA16JU","PAL_E298"
13668,"status:PA16JU","PAL_E296"
13667,"status:PA16JU","PAL_E292"
13666,"status:PA16JU","PAL_E290"
13664,"status:PA16JU","PAL_E172"
13613,"status:PA16JU","PAL_E293"
13607,"status:PA16JU","PAL_E376"
13581,"status:PA16JU","PAL_E289"
13577,"status:PA16JU","PAL_E275"
13576,"status:PA16JU","PAL_E267"
13575,"status:PA16JU","PAL_E265"
13574,"status:PA16JU","PAL_E262"
16676,"status:PA16JU","PAL_E1280"
15134,"status:PA16JU","PAL_E2407"
13836,"status:PA16JU","PAL_E742"
13585,"status:PA16JU","PAL_E311"
13568,"status:PA16JU","PAL_E198"
13385,"status:PA16JU","PAL_E187"
21313,"status:PA16JU","PAL_E4266"
21311,"status:PA16JU","PAL_E4267"
21122,"status:PA16JU","PAL_E4280"
21086,"status:PA16JU","PAL_E4289"
21085,"status:PA16JU","PAL_E2677"
21081,"status:PA16JU","PAL_E4362"
20978,"status:PA16JU","PAL_E4179"
20955,"status:PA16JU","PAL_E4166"
20950,"status:PA16JU","PAL_E4153"
20949,"status:PA16JU","PAL_E4151"
20929,"status:PA16JU","PAL_E4136"
20927,"status:PA16JU","PAL_E4134"
20898,"status:PA16JU","PAL_E4121"
20890,"status:PA16JU","PAL_E4102"
20889,"status:PA16JU","PAL_E4085"
20888,"status:PA16JU","PAL_E4086"
20771,"status:PA16JU","PAL_E2998"
20770,"status:PA16JU","PAL_E2933"
20769,"status:PA16JU","PAL_E2573"
20768,"status:PA16JU","PAL_E2513"
20341,"status:PA16JU","PAL_E4344"
20340,"status:PA16JU","PAL_E4338"
20338,"status:PA16JU","PAL_E4328"
20336,"status:PA16JU","PAL_E4327"
20335,"status:PA16JU","PAL_E4326"
20334,"status:PA16JU","PAL_E4318"
20333,"status:PA16JU","PAL_E4311"
20332,"status:PA16JU","PAL_E4304"
20331,"status:PA16JU","PAL_E4300"
20329,"status:PA16JU","PAL_E4298"
16753,"status:PA16JU","PAL_E3804"
16752,"status:PA16JU","PAL_E3809"
16751,"status:PA16JU","PAL_E3815"
16750,"status:PA16JU","PAL_E3826"
16749,"status:PA16JU","PAL_E3830"
16748,"status:PA16JU","PAL_E3837"
16747,"status:PA16JU","PAL_E3844"
16746,"status:PA16JU","PAL_E3890"
16745,"status:PA16JU","PAL_E2282"
16744,"status:PA16JU","PAL_E2270"
16743,"status:PA16JU","PAL_E644"
16742,"status:PA16JU","PAL_E616"
16741,"status:PA16JU","PAL_E615"
16740,"status:PA16JU","PAL_E585"
16739,"status:PA16JU","PAL_E581"
16738,"status:PA16JU","PAL_E3694"
16737,"status:PA16JU","PAL_E3569"
16736,"status:PA16JU","PAL_E3568"
16735,"status:PA16JU","PAL_E3567"
16734,"status:PA16JU","PAL_E3507"
16733,"status:PA16JU","PAL_E3092"
16732,"status:PA16JU","PAL_E3039"
16731,"status:PA16JU","PAL_E1474"
16730,"status:PA16JU","PAL_E3786"
16729,"status:PA16JU","PAL_E3783"
16728,"status:PA16JU","PAL_E3778"
16727,"status:PA16JU","PAL_E3777"
16726,"status:PA16JU","PAL_E3774"
16725,"status:PA16JU","PAL_E3769"
16723,"status:PA16JU","PAL_E3766"
16722,"status:PA16JU","PAL_E3761"
16721,"status:PA16JU","PAL_E3759"
16720,"status:PA16JU","PAL_E3757"
16719,"status:PA16JU","PAL_E3755"
16718,"status:PA16JU","PAL_E3752"
16717,"status:PA16JU","PAL_E3750"
16716,"status:PA16JU","PAL_E3746"
16714,"status:PA16JU","PAL_E3742"
16713,"status:PA16JU","PAL_E3740"
16712,"status:PA16JU","PAL_E3738"
16711,"status:PA16JU","PAL_E3736"
16710,"status:PA16JU","PAL_E3735"
16709,"status:PA16JU","PAL_E3733"
16708,"status:PA16JU","PAL_E3731"
16707,"status:PA16JU","PAL_E3729"
16706,"status:PA16JU","PAL_E3727"
16705,"status:PA16JU","PAL_E3725"
16704,"status:PA16JU","PAL_E3723"
16703,"status:PA16JU","PAL_E3718"
16702,"status:PA16JU","PAL_E3715"
16701,"status:PA16JU","PAL_E3711"
16700,"status:PA16JU","PAL_E3709"
16699,"status:PA16JU","PAL_E3708"
16698,"status:PA16JU","PAL_E3701"
16697,"status:PA16JU","PAL_E3699"
16696,"status:PA16JU","PAL_E3697"
16695,"status:PA16JU","PAL_E3696"
16694,"status:PA16JU","PAL_E3050"
16693,"status:PA16JU","PAL_E3693"
16691,"status:PA16JU","PAL_E3687"
16690,"status:PA16JU","PAL_E3682"
16689,"status:PA16JU","PAL_E3678"
16688,"status:PA16JU","PAL_E3672"
16687,"status:PA16JU","PAL_E3674"
16686,"status:PA16JU","PAL_E3348"
16685,"status:PA16JU","PAL_E3340"
16683,"status:PA16JU","PAL_E3635"
16682,"status:PA16JU","PAL_E3338"
16681,"status:PA16JU","PAL_E3329"
16680,"status:PA16JU","PAL_E3323"
16679,"status:PA16JU","PAL_E3321"
16678,"status:PA16JU","PAL_E3299"
16677,"status:PA16JU","PAL_E3670"
16674,"status:PA16JU","PAL_E3274"
16673,"status:PA16JU","PAL_E3272"
16671,"status:PA16JU","PAL_E3121"
16670,"status:PA16JU","PAL_E3023"
16669,"status:PA16JU","PAL_E2627"
16668,"status:PA16JU","PAL_E2877"
16667,"status:PA16JU","PAL_E3016"
16666,"status:PA16JU","PAL_E2863"
16665,"status:PA16JU","PAL_E3076"
16664,"status:PA16JU","PAL_E3074"
16663,"status:PA16JU","PAL_E3048"
16662,"status:PA16JU","PAL_E3033"
16661,"status:PA16JU","PAL_E3028"
16660,"status:PA16JU","PAL_E2977"
16659,"status:PA16JU","PAL_E2974"
16658,"status:PA16JU","PAL_E2966"
16657,"status:PA16JU","PAL_E2937"
16656,"status:PA16JU","PAL_E2930"
16655,"status:PA16JU","PAL_E2913"
16654,"status:PA16JU","PAL_E2904"
16653,"status:PA16JU","PAL_E2908"
16652,"status:PA16JU","PAL_E2894"
16651,"status:PA16JU","PAL_E2783"
16650,"status:PA16JU","PAL_E2690"
16649,"status:PA16JU","PAL_E2685"
16648,"status:PA16JU","PAL_E2622"
16647,"status:PA16JU","PAL_E2621"
16646,"status:PA16JU","PAL_E2614"
16645,"status:PA16JU","PAL_E2613"
16644,"status:PA16JU","PAL_E2571"
16643,"status:PA16JU","PAL_E2531"
16642,"status:PA16JU","PAL_E2521"
16640,"status:PA16JU","PAL_E2406"
16639,"status:PA16JU","PAL_E2389"
16638,"status:PA16JU","PAL_E2027"
16637,"status:PA16JU","PAL_E2020"
16636,"status:PA16JU","PAL_E3124"
16635,"status:PA16JU","PAL_E1838"
16634,"status:PA16JU","PAL_E1697"
16633,"status:PA16JU","PAL_E962"
16632,"status:PA16JU","PAL_E3668"
16630,"status:PA16JU","PAL_E3666"
16625,"status:PA16JU","PAL_E3655"
16624,"status:PA16JU","PAL_E3652"
16623,"status:PA16JU","PAL_E3651"
16622,"status:PA16JU","PAL_E3650"
16621,"status:PA16JU","PAL_E3647"
16620,"status:PA16JU","PAL_E3644"
16619,"status:PA16JU","PAL_E3643"
16618,"status:PA16JU","PAL_E3642"
16617,"status:PA16JU","PAL_E3640"
16616,"status:PA16JU","PAL_E3637"
16615,"status:PA16JU","PAL_E3636"
16614,"status:PA16JU","PAL_E3634"
16613,"status:PA16JU","PAL_E3633"
16612,"status:PA16JU","PAL_E3632"
16611,"status:PA16JU","PAL_E3630"
16610,"status:PA16JU","PAL_E3628"
16609,"status:PA16JU","PAL_E3626"
16608,"status:PA16JU","PAL_E1334"
16607,"status:PA16JU","PAL_E1382"
16606,"status:PA16JU","PAL_E1411"
16605,"status:PA16JU","PAL_E1452"
16604,"status:PA16JU","PAL_E1508"
16603,"status:PA16JU","PAL_E1531"
16602,"status:PA16JU","PAL_E1536"
16601,"status:PA16JU","PAL_E1756"
16600,"status:PA16JU","PAL_E1822"
16599,"status:PA16JU","PAL_E1825"
16598,"status:PA16JU","PAL_E1836"
16597,"status:PA16JU","PAL_E1918"
16596,"status:PA16JU","PAL_E1959"
16595,"status:PA16JU","PAL_E2150"
16594,"status:PA16JU","PAL_E2215"
16593,"status:PA16JU","PAL_E2233"
16592,"status:PA16JU","PAL_E2234"
16591,"status:PA16JU","PAL_E2274"
16590,"status:PA16JU","PAL_E2275"
16589,"status:PA16JU","PAL_E2276"
16588,"status:PA16JU","PAL_E2279"
16587,"status:PA16JU","PAL_E2284"
16586,"status:PA16JU","PAL_E2287"
16585,"status:PA16JU","PAL_E2289"
16584,"status:PA16JU","PAL_E2297"
16583,"status:PA16JU","PAL_E2308"
16582,"status:PA16JU","PAL_E2310"
16581,"status:PA16JU","PAL_E2326"
16580,"status:PA16JU","PAL_E2327"
16579,"status:PA16JU","PAL_E2334"
16578,"status:PA16JU","PAL_E2337"
16577,"status:PA16JU","PAL_E2350"
16576,"status:PA16JU","PAL_E2410"
16575,"status:PA16JU","PAL_E2532"
16574,"status:PA16JU","PAL_E2533"
16573,"status:PA16JU","PAL_E2562"
16572,"status:PA16JU","PAL_E2628"
16571,"status:PA16JU","PAL_E2691"
16570,"status:PA16JU","PAL_E2806"
16569,"status:PA16JU","PAL_E2807"
16568,"status:PA16JU","PAL_E2841"
16566,"status:PA16JU","PAL_E2925"
16565,"status:PA16JU","PAL_E2879"
16564,"status:PA16JU","PAL_E3025"
16563,"status:PA16JU","PAL_E3029"
16562,"status:PA16JU","PAL_E3031"
16561,"status:PA16JU","PAL_E3103"
16560,"status:PA16JU","PAL_E3198"
16559,"status:PA16JU","PAL_E3202"
16557,"status:PA16JU","PAL_E3204"
16556,"status:PA16JU","PAL_E3206"
16555,"status:PA16JU","PAL_E3207"
16554,"status:PA16JU","PAL_E3208"
16553,"status:PA16JU","PAL_E3210"
16552,"status:PA16JU","PAL_E3211"
16551,"status:PA16JU","PAL_E3213"
16549,"status:PA16JU","PAL_E3216"
16546,"status:PA16JU","PAL_E3220"
16545,"status:PA16JU","PAL_E3221"
16543,"status:PA16JU","PAL_E3223"
16542,"status:PA16JU","PAL_E3224"
16541,"status:PA16JU","PAL_E3225"
16540,"status:PA16JU","PAL_E3229"
16539,"status:PA16JU","PAL_E3230"
16538,"status:PA16JU","PAL_E3231"
16537,"status:PA16JU","PAL_E3232"
16536,"status:PA16JU","PAL_E3233"
16535,"status:PA16JU","PAL_E3234"
16534,"status:PA16JU","PAL_E3235"
16533,"status:PA16JU","PAL_E3236"
16532,"status:PA16JU","PAL_E3237"
16531,"status:PA16JU","PAL_E3238"
16530,"status:PA16JU","PAL_E3240"
16529,"status:PA16JU","PAL_E3241"
16528,"status:PA16JU","PAL_E3242"
16527,"status:PA16JU","PAL_E3243"
16526,"status:PA16JU","PAL_E3244"
16525,"status:PA16JU","PAL_E3245"
16524,"status:PA16JU","PAL_E3246"
16523,"status:PA16JU","PAL_E3248"
16522,"status:PA16JU","PAL_E3250"
16521,"status:PA16JU","PAL_E3552"
16520,"status:PA16JU","PAL_E3551"
16519,"status:PA16JU","PAL_E3254"
16518,"status:PA16JU","PAL_E3409"
16517,"status:PA16JU","PAL_E3519"
16516,"status:PA16JU","PAL_E3529"
16515,"status:PA16JU","PAL_E3498"
16514,"status:PA16JU","PAL_E3256"
16513,"status:PA16JU","PAL_E3257"
16512,"status:PA16JU","PAL_E3258"
16511,"status:PA16JU","PAL_E3260"
16510,"status:PA16JU","PAL_E3261"
16509,"status:PA16JU","PAL_E3262"
16508,"status:PA16JU","PAL_E3553"
16507,"status:PA16JU","PAL_E3554"
16506,"status:PA16JU","PAL_E3557"
16505,"status:PA16JU","PAL_E3558"
16504,"status:PA16JU","PAL_E3566"
16503,"status:PA16JU","PAL_E3603"
16502,"status:PA16JU","PAL_E3614"
16501,"status:PA16JU","PAL_E3615"
16500,"status:PA16JU","PAL_E3799"
16499,"status:PA16JU","PAL_E3798"
16498,"status:PA16JU","PAL_E3796"
16497,"status:PA16JU","PAL_E3675"
16496,"status:PA16JU","PAL_E3793"
16495,"status:PA16JU","PAL_E3794"
16494,"status:PA16JU","PAL_E3624"
16493,"status:PA16JU","PAL_E3623"
16491,"status:PA16JU","PAL_E3621"
16490,"status:PA16JU","PAL_E3620"
16489,"status:PA16JU","PAL_E3618"
16488,"status:PA16JU","PAL_E3617"
16487,"status:PA16JU","PAL_E3616"
